,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lat,Lon,date-time (UTC),Date,BuoyID,sensorIce1,sensorIce2,Approximate meltpond fraction ,Icethickness,SnowDepth,Ice thickness triangel (m),,,Snow depth grid (cm) row major 2D grid  with 5 entries per row stored as a 1D array. P denotes meltpond measurements,,,,,,,,,,,,,,,,,,,,,,,,
82.4892,24.7486,2025-07-31T18:44:24Z,31.7.2025,2025_08_KVS_ArctSum_16,4 snow,5,3/10,1.74,6,2.74,1.69,1.93,4,6,4,3,3,4,6,5,4,7,5,4,4,3,3,3,5,4,5,3,3,5,5,6,6
83.3895,28.4305,2025-08-01T14:04:06Z,1.8.2025,2025_08_KVS_ArctSum_17,5 snow,6,2/10,1.11,4,1.08,1.18,0.91,2,4,5,2,3,3,6,9,3,7,5,5,5,3,4,3,2,3,4,6,2,6,2,4,2
84.2871,32.8092,2025-08-01T22:51:19Z,1.8.2025,2025_08_KVS_ArctSum_01,5 snow,6,3/10,1.27,4,1.30,1.33,1.25,3,8,4,5,6,3,5,3,3,4,8,5,3,3,6,6,3,2,5,6,3,5,3,4,2
84.9418,34.6883,2025-08-02T10:52:00Z,2.8.2025,2025_08_KVS_ArctSum_02,4 snow ,5,1/10,1.82,4,1.45,1.39,1.38,5,3,5,4,6,3,5,6,5,7,4,6,8,5,4,4,5,5,6,5,6,4,5,8,4
85.6384,35.1754,2025-08-02T16:07:08Z,2.8.2025,2025_08_KVS_ArctSum_03,4 ice ,4,3/10,1.98,6,1.48,1.67,2.04,7,5,9,5,7,5,6,8,4,5,7,3,5,5,4,7,6,5,4,4,9,5,4,5,3
86.0231,37.1567,2025-08-03T14:00:37Z,3.8.2025,2025_08_KVS_ArctSum_04,5 ice,5,2/10,2.55,3,2.91,3,2.05,4,5,3,3,5,5,4,4,4,5,2,4,3,4,3,3,4,5,3,5,3,5,5,4,3
86.3673,38.0211,2025-08-03T19:27:08Z,3.8.2025,2025_08_KVS_ArctSum_05,4 ice,4,1/10,1.9,4,2,1.9,2,5,3,5,5,4,4,4,5,5,4,4,5,4,7,4,7,4,5,3,4,8,6,6,5,4
86.7058,40.4378,2025-08-04T07:44:00Z,4.8.2025,2025_08_KVS_ArctSum_06,4 snow,5,1/10,2.5,4,2,2.4,2.35,6,5,5,5,5,5,6,6,6,7,5,6,5,4,5,4,7,4,6,6,4,4,4,14,7
87.1635,41.1418,2025-08-04T13:27:49Z,4.8.2025,2025_08_KVS_ArctSum_07,4 snow,5,4/10,2.5,9,1.7,1.5,2,8,8,6,6,8,6,7,5,6,4,2,5,5,7,7,6,7,6,6,5,8,3,7,7,6
87.6301,50.2988,2025-08-04T21:00:23Z,4.8.2025,2025_08_KVS_ArctSum_08,6 ice,6,1/10,3,6,3,2.9,2.6,12,5,4,4,7,6,5,5,3,6,6,3,6,6,8,8,8,9,5,7,7,10,6,5,8
87.7102,58.0237,2025-08-05T12:31:13Z,5.8.2025,2025_08_KVS_ArctSum_09,4 snow,5,1/10,2.7,8,2.3,2.2,3,2,3,2,4,5,3,5,2,4,6,5,5,6,7,4,4,5,14,6,8,3,4,3,3,7
87.7834,64.5992,2025-08-05T20:34:00Z,5.8.2025,2025_08_KVS_ArctSum_18,4 snow,5,1/10,2.7,4,2.5,2,1.9,4,6,4,5,5,3,6,4,5,3,5,4,6,6,4,4,5,5,5,4,4,4,7,4,3
87.8002,70.6057,2025-08-06T07:52:00Z,6.8.2025,2025_08_KVS_ArctSum_19,4 snow ,5,4/10,2.9,7,3,2.9,2,3,4,4,5,7,3,5,6,3,5,4,1,7,4,3,1,1,6,8,5,1,5,6,6,4
87.7880,74.7770,2025-08-06T12:51:00Z,6.8.2025,2025_08_KVS_ArctSum_10,4 ice,4,4/10,2.4,0,1.5,1.7,3,3,3,2,0,1,2,2,2,1,2,1,2,2,0,2,2,2,2,0,1,2,3,1,2,0
87.9356,81.0061,2025-08-07T08:51:43Z,7.8.2025,2025_08_KVS_ArctSum_11,4 snow,5,4/10,2.8,3,3,2.7,2.4,4,10,9,2,6,9,7,6,9,2,9,6,8,8,8,14,3,7,8,8,6,3,2,9,5
87.7987,62.8557,2025-08-07T22:08:00Z,7.8.2025,2025_08_KVS_ArctSum_12,4 snow ,5,3/10,2.5,6,2.2,2,1.7,10,6,7,4,6,11,6,5,7,7,2,4,5,6,5,3,4,6,4,5,6,7,8,8,2
87.22182,132.99028,2025-09-05T13:20:00Z,5.9.2025,2025_08_KVS_ArctSum_13,5 on snow,6,,2.34,10,2.23,2.56,2.24,7,4,20,,,,,,,,,,,,,,,,,,,,,,
89.96245,89.13215,2025-08-16T20:57:00Z,16.8.2025,2025_08_KVS_ArctSum_15,5 on snow ,6,,1.84,14,1.89,1.82,1.83,21,9,11.5,,,,,,,,,,,,,,,,,,,,,,
84.850456,165.19406,2025-09-02T15:54:00Z,2.9.2025,2025_08_KVS_ArctSum_14,4,6,,1.11,13,1.14,1.09,1.11,13,12 ,15,,,,,,,,,,,,,,,,,,,,,,
